title,context,label,class,title_len,context_len
广东高考平行志愿顺利 文科投档率超92%,"　　南都讯今年我省首次实行平行志愿投档模式改革，昨日第一批本科第一志愿组的投档录取是检验这项改革的首站。省招生办介绍，从目前投档情况来看，平行志愿改革开局顺利，但呈现诸多新特点值得关注。
　　文科投档率超92%
　　据介绍，相比以往一本院校录取第一志愿投档率约为80%的水平，今年一本院校第一志愿组投档率大幅提高，整体水平约为92%，其中文科还超过了92%。
　　“一所名校生源水平提高了层次，比如说扩招了100名，但受惠的学生可能就是一两千名。”省教育考试院院长杨开乔举例说，“比如某学生本来是读武汉大学的，但清华扩招了，他被录入了清华，那么就相当于武大也空出了名额招其他学生，如此类推，受惠的考生会多很多。”
　　分数扁平化同分考生多
　　以南方医科大学为例，今年理科分数为621分的考生投档到该校就有60多名。南方医称，学校在录取的时候对于同分的考生将按照省教育考试院关于提供的考生排位顺序从高到低进行录取。尤其是理科考生，在同分的情况下南医大将按照广东省平行志愿投档顺序原则，按理科数学、理科综合、语文、英语的单科顺序及分数从高到低录取。
　　不过对于扁平化高校说法各异，暨南大学招生办主任庄友明表示，该校理科出档线为642分，录到的最高分为677分，学校办学优势在，不见得就揽不到高分。
　　专业“不服从”是大难题
　　省招生办介绍，从考生志愿看，考生专业志愿过偏，以及填报“专业不服从”的现象依然存在，因此，部分高校在考生专业安排上存在一定难度，甚至可能使个别高校出现能“投满档”却不能“录满”，以致要进行征集志愿的情况。个别考生则会出现由于专业志愿不合理，被高校退档，需参加第二志愿组投档或者参加征集志愿。

",6,教育,20,712
组图：性感车模兽兽媚惑展现情趣内衣,"　　导语：性感车模兽兽无论是作为车展代言还是为内衣做广告，都是那么让人着迷，真可谓是“动”“静”皆性感的完美模特。车模兽兽情趣内衣写真充满诱惑！

",9,时尚,17,74
40年交情打造“双平”组合 张卫平：我俩很少抢话,"　　记者陈艳艳伊斯坦布尔报道
　　九十年代中后期，张卫平到美国学习，央视开始在NBA现场解说总决赛和全明星赛，孙正平就找到张卫平一起做他的嘉宾顾问。一说就是十几年。其实，两人的交情比这还要早，在孙正平还未进入央视，张卫平还是国手时，就已经开始了。
　　六十年代末期，孙正平还在山西插队，国家队要到山西打几场表演赛。在比赛中，孙正平负责用大喇叭提示群众不要大声喧哗、不要往前拥挤。那是张卫平和孙正平第一次见面。后来，孙正平报考中央电视台，考试题目是解说一场比赛，而解说的那场球，正巧是张卫平所在的北京队和香港队的一场比赛。那次解说很成功，孙正平进入了中央电视台。从那之后，孙正平就经常邀请张卫平作为他的解说嘉宾。
　　张卫平说，能够从一名出色的篮球运动员，转型成为一名出色的篮球解说员，这次的老师就是孙正平：“一开始，我也不知道怎么说，也就是孙老师一直教，当然，他也不是教我吐气、发声之类的，对这方面的要求并不是很高，就是让我尽量减少北京土话，多说普通话，减少口音，然后告诉我应当什么时候说，什么时候停，这些年，一直是他教我。我们在一起解说也十几年了，所以配合也是比较默契，我们之间很少会抢话，他的角色是什么，我的角色是什么，我们都很清楚。”
　　如何分工？张卫平打了个很形象的比喻。好比画一幅画，孙正平负责描绘全局，而他则负责锦上添花。“孙老师的角色是讲每一个配合和回合，比如说一幅画，孙老师给大家讲这有一幢房子有一棵树，而我是讲房子是什么形状和颜色，树是什么颜色这样的。”张卫平说，“一般都是他先引导着说，然后我接着说。比如解说NBA总决赛，孙老师讲一个回合打成了，我就要接着说为什么进了怎么进的，我说完了，球到半场了，他接着描述场上发生了什么。”
　　现在，赛季期间，孙正平和张卫平每周至少解说一场NBA。在现场解说的NBA总决赛，张卫平有13次，孙正平是12次，就是今年总决赛孙正平去南非解说世界杯，没去美国，在这之前央视转播的所有的NBA总决赛，都是他们俩配合解说的。每次解说前两分钟，两个人都会找几个个点，分工都比较固定。 
　　两个人也是一直按照这个路数在走，只不过在中国和在美国的解说风格是完全不同的，在中国话不能说的太满，得留一些空间给球迷安静看球，但是在美国，他们的解说员整场比赛都不停。现在观众水平越来越高，懂球的人越来越多，球迷都能看懂场上的情况，“这个时候，我们解说也得提高解说水平，像我这样，还得分析一下场上的技战术，NBA和FIBA的规则不同，细微的变化，比如挡拆，两个规则就不同。但观众有的时候并不愿意听这些太专业的东西，真正要把握好度也挺不容易的。”

",11,体育,24,1093
应试必看：公务员考试面试流程大揭秘,"　　作者：陈蓬
　　1. 报到 
　　一般需要提前10—30分钟到达指定地点报到 
　　2. 核对身份 
　　考试工作人员核对考生身份证件和面试通知书 
　　3. 抽签 
　　抽签确定分组和进场顺序，有的地区是先抽分组签，再抽顺序签，有的地区是一次抽取确定分组和顺序，如：三(1)，表示第三组第1个进场。个别地区采取事先将考生分组和安排好顺序并安排好考场号，这种做法目前多数地区不再采用，因为无法保证公平，容易产生考官和考生事先串通的情况。但中央国家机关公务员考试部分部委目前依然采取这种形式进行面试。 
　　4. 候考 
　　考生抽签完毕后进入候考区等待考试，考试未结束，不许随便离开，有考场工作人员监督，上卫生间需要工作人员陪同，如排在下午考试，午饭也由工作人员送到候考室。以防止已经考试完毕的考生将情况透露给未考试的考生。 
　　5. 进入考场 
　　按照顺序，轮到某考生入场时，引导员将到候考室宣布：“请×××号考生入场”，考生随同引导员到达考场门口，一般考场门是敞开的，考生可以直接进入，不必敲门，如门是关着的，考生需要敲门并获得考场内考官允许后方可以进入。引导员不许直接叫考生名字，否则算严重违反考试纪律，一般引导员也只知道考生顺序编号。
　　6. 面试开始 
　　考生进入后，直接走到考生席，站定后向各位考官问好，得到“请坐”的指令后，考生可以落座。考生落座后，考生一般需要报自己的考试顺序号。等考官宣布导语后，考试开始。 
　　特别注意的是，考生不能自报姓名，万学金路公务员陈蓬老师指出，有些面试书上所介绍的考生自我介绍是与当前考试严重不符的，如发生在考场内自报姓名的，考生会被当场取消面试资格。 
　　考试时间一般是15分钟，题目一般为4—5道。关于考试应对细节，本书将在“考场实战”一章详细阐述。 
　　7. 退场 
　　考生回答完所有题目后，主考官一般要问考生是否还有其它补充，多数时间已到，考生此时一般回答无补充。主考官宣布请考生退场，到候分室等候分数。记分员核算分数后，考生在候分室得到分数通知即可离开考场。也有个别地区是等待当场分数公布后考生再离开，这种情况适用于招考人数比较少的情况，黑龙江省各地区几乎全部实行候分室制度。另外，中央国家机关公务员部分单位的面试分数一般不当场公布。 
　　8. 计分 
　　考官将各自对该考生的评分表交给计分员，核算分数。核算完毕，交给监督员审核。 
　　9. 公布成绩 
　　计分员核算完分数，监督员和主考官签字后交给工作人员到候分室对考生宣布。也有的在侯分室张贴。 
　　10. 面试结束 
　　考生得到分数后被要求尽快离开候分室，不得逗留和随意走动。考生回家等待，网站将公布入围和体检名单。
    更多信息请访问：新浪公务员频道 公务员论坛 公务员博客圈
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

",6,教育,17,1225
相约上海电魂之夜媒体答谢会完美闭幕,"　　如果说，游戏媒体是滚滚长江。
　　那么我们对媒体同志的敬仰有如滔滔江水连绵不绝的涌出来。
　　相约上海“电魂之夜”
　　《梦三国OL》是由杭州电魂网络科技有限公司倾力打造的一款纯国风竞技网游。凭借其极尽完美的游戏操作手感、炫目华丽的竞技对战画面、与独创的三国剧情副本及被国内数千万竞技玩家与各大网游媒体的一致赞许为2011年竞技网游领军之作。
　　杭州电魂网络为感谢3年来诸位媒体朋友对旗下游戏《梦三国OL》的大力支持与帮助，特在4月末在时尚之都上海与广大媒体贵宾们带来一场酷炫动感的媒体答谢晚宴。
　　晚宴没有些特色怎能行？  德州扑克，21点等经典娱乐项目绝对给力到位！
　　虽有很多次合作，但在本次“电魂之夜”晚宴上“面对面”接触却还是头一次。大家并不陌生，彼此间畅聊着游戏人生。
　　亮丽动感的Show Girl一直以来都是众人中的焦点哦。
　　现场抽奖环节更是精彩连连，IPHONE4，最新DV等酷炫数码大礼应有尽有！M3首席运营官“罗老大”更是亲自上阵为大家揭开谜底。
　　推崇国风竞技，打造属于我们国人自己的巅峰竞技网游是《梦三国OL》一直所追求的目标。《梦三国OL》在推出3年多以来感谢玩家们与媒体朋友们的鼎立支持，没有你们的给力支持就没有《梦三国OL》今天的傲人成绩。
　　感谢有你，让我们期待下次的欢聚。为国风竞技更美好的明天为之奋斗！
　　更多精彩请点击
　　新浪微博>>>

",13,游戏,17,602
传媒杂志社长李晓晔：媒体进入产业链竞争阶段,"
　　8.传媒杂志社社长兼主编李晓晔人民网北京电 26日下午，《京华时报》创刊十周年研讨会在北京举行，中国期刊协会会长、新闻出版总署原副署长石峰，新闻出版总署新闻报刊司司长王国庆，中国报业协会副会长魏铭详以及人民大学新闻学院副院长喻国明、传媒大学广告学院院长黄升民、北大新闻与传播学院副院长陈刚等人参加了研讨会。研讨会由传媒杂志社副社长周志懿主持。
　　传媒杂志社长兼主编李晓晔的发言如下：
　　这次传媒杂志社和京华时报社合办《京华时报》创刊十年研讨会，邀请各位领导和专家一起回顾《京华时报》的发展历程，共谋未来发展，并为都市报的创新梳理经验和思想。吴海民社长原来是我在新闻出版报时的老领导、老上级，那时候报社很多有深度的文章都是他写的。听了各位领导和专家的发言，很受启发。我想谈几点感受：
　　第一，《传媒》杂志和《京华时报》创刊时间差不多，我在《京华时报》创办初期也采访过吴海民社长，当时他谈到《京华时报》跟别的报纸不一样的地方就是做新闻，做真正的新闻。那时大家写新闻都写得比较软，比较花哨，而《京华时报》就要做干净利落的新闻。还有新到《京华时报》的人都要到军队里面集训。当时采访得不够深入，今天下午才算是听到了《京华时报》成功的真正的秘密。
　　首先是机遇与坚持。当时有很多人、很多媒体都抓住了机遇，但是十年以后剩下来的就不多了，所以坚持更加重要。九年的坚持，吴海民社长和《京华时报》的团队把自己打造成了一群纯粹的新闻人，这是非常令人尊敬的。
　　第二是《京华时报》有自己一整套办报的理念，从核心价值观到发展战略，到体制机制，到人才培养、企业文化等等，每一个层面都渗透了一种属于自己的文化和办报理念，这在报业还不多见，其他报纸谈文化层面的东西还不是很多。第三，刚才石峰会长对《传媒》杂志提出了要求，就是要把一些典型报纸、刊物的成功经验深入挖掘出来。这是我们杂志下一步需要认真落实的。实际上，都市报从90年代后半期开始产生至今，已经成为一个重要的新闻现象，肯定会写进中国当代新闻史，而《京华时报》十年的发展，也将成为都市报现象的重要的一页。《传媒》杂志怎么来挖掘这个经验，怎么把一个个体的经验提高到普遍的高度，使之成为中国传媒业共同的财富，这是我们需要努力的，我们也将尽自己所能做到这一点。
　　就都市报将来发展我想谈一点看法，我对报纸了解比较少，这几年对期刊有一些研究。我认为传媒业在前一时期的特点是，技术提供商凭借技术整合传统媒体，传统媒体则毫无反抗能力，传统媒体的内容资源被和财富都被他们轻易使用了。从这几年来看，则进入了第二个阶段，就是原来传统媒体不懂技术，现在大家都会用了，网络技术不像过去那样神秘，所以内容的价值逐渐凸显出来。对于一些传统媒体，尤其是一些科技期刊来说，他们使用互联网技术已经非常熟练，已经开始在建立自己的数据库，从卖版面到卖数据库，甚至开始整合自己的产业链。期刊的经验对都市报来说也是可以借鉴的。前不久我们开了一个主流都市报的会议，当时《三湘都市报》的总经理石家友提出一个观点非常重要，他说都市报的发展有三个阶段，第一个阶段解决了市场化、公司化的问题，第二个阶段是解决了互动问题，第三个发展阶段就是进入“平台+产业链”的时代。平台有八个方面的功能，新闻、资讯、广告、产品、销售、互动、信息、服务。产业链则是在全媒体下面，从报纸、广播、户外这样一个传播链条慢慢演变为产业链条。从期刊来说，产业链链条比较清晰，而对于都市报来说，产业链条到底是什么，这是需要进一步研究的。

",7,科技,21,1451
小学老师强奸学生潜逃 6年后变身地产公司副总,"　　华龙网3月10日12：20分讯（万州站记者黄金华、通讯员谢记超）　重庆开县一小学老师张某利用其班主任身份，对学生进行猥亵、奸淫。案发后，潜逃六年，并当上重庆一房地产公司副总后，因其他事自己报案时，落入法网。今日，记者从重庆市开县人民法院获悉，该院一审认定该县原某小学教师、重庆市南岸区某房地产公司副总经理张某犯强奸罪、猥亵儿童罪成立，判处有期徒刑12年6个月。 
　　老师借谈话之机奸淫学生 
　　今年20岁的小花（化名），是原开县某小学五年级学生。由于父母在外打工，小花便随奶奶爷爷生活。 2003年2月，小花给父母打电话，称自己被班主任张某猥亵，在学校没有脸见人了，坚决不在这个学校读书了。 
　　小花称，2002年秋季开学后，张某以谈话为名，将她叫到他的寝室内，强行对小花实施猥亵，小花见机逃脱。 
　　同年11月，张某饮酒后，在宿舍内强行对小花实施了奸淫。此后，张某利用中午和晚上休息时间，以谈话名义将小花叫到宿舍，强行对小花实施奸淫两次。 
　　案发后赔偿万元请假潜逃 
　　一个多月后，小花因自己身体开始出现不适，便将自己被班主任强奸，可能怀孕的情况告诉其奶奶、爷爷。 
　　此时，小花被班主任强奸的消息在学校传开。事情败露后，张某让自己亲戚出面，找小花的家人商谈私了此事。为顾及孙女的名声，小花的爷爷、奶奶和张某达成由其支付1万元赔偿费，同时承担小花人流手术费、营养费，此事不再追究的私了协议。 
　　双方达成私了协议后，小花家人认为张某支付的1万元赔偿费太低，便找到了学校，要求张某赔偿3万元，同时要求学校对张某进行处理。 
　　然而，在小花家人找到学校的前一天，张某以母亲患病为由，向校方请假25天，未经批准的情况下，从此不见了踪影。 
　　于是，小花家人向公安机关报案，公安机关发布对张某的通缉令，进行网上追逃。 
　　潜逃六年当上了房地产公司副总 
　　2009年2月，一名男子向重庆市南岸区南坪派出所报警称，有人在南岸区某房产公司内寻衅滋事，砸坏了打印机。 
　　民警赶到现场，将报警人等人带回派出所审查时，却意外的发现报警人为是网上追逃的张某，遂被办案民警抓获。 
　　据张某向警方交待，2003年，自己强奸学生案情败露后，开始了自己的潜逃打工之路。 
　　经过几年的努力，张某当上了重庆南岸区某房产公司副总经理。 
　　一审认定构成强奸罪获重刑 
　　法院审理查明，张某在开县某小学担任班主任期间，利用谈话等机会，在学校为其提供的宿舍内，强行对未满十四周岁的小花猥亵一次、强奸三次，致使小花怀孕的严重后果。 
　　庭审过程中，张某当庭翻供，并提出没有猥亵小花辩解意见。 
　　法院审理认为，张某辩解意见不能成立，法庭不予采纳。张某利用其教师身份，对自己年幼的学生进行猥亵、奸淫，造成小花怀孕的严重后果，依法应予严惩，遂作出判处有期徒刑12年6个月的判决。
 

",8,社会,22,1197
玻利维亚宣布中断与以色列外交关系,"　　新华网快讯：玻利维亚总统莫拉莱斯14日宣布中断与以色列的外交关系，以抗议以色列对加沙地带发动进攻。 
    相关阅读：
    黎巴嫩军方声明反对从黎领土向以发射火箭弹
    潘基文在埃及斡旋加沙停火 加沙城战斗仍在继续

",10,时政,16,116
影视界配乐大师加盟《孤岛危机2》,"　　根据波兰游戏网站gameplay报道，影视界配乐大师汉斯·季默(Hans Zimmer)为《孤岛危机2》的原声音乐创作者。
　　《孤岛危机2》的原声音乐将在游戏发售后上市，包含2张光盘。
　　汉斯·季默是最著名的影视界配乐大师之一，作品包括《角斗士》，《黑暗骑士》，《狮子王》和《盗梦空间》。此前还为畅销游戏《使命召唤：现代战争2》创作原声音乐。
　　另外，EA今早公布了《孤岛危机2》的Xbox360版的最新游戏演示视频“路霸”，片中为大家演示了如何击杀AI士兵。

",13,游戏,16,237
棒喝：国内高校还潜伏着多少“假洋鬼子”,"　　高考成绩不理想，就花钱“包装”，以“留学生”身份入读国内名牌大学，广州有7名学生用这种伎俩入读高校一年后被退学。而伪造学生国籍证件的3名犯罪分子近日被法院分别判处4年至5年不等的有期徒刑。(《新快报》7月16日)
　　重庆高考中的民族身份作假尚未尘埃落定，广州又曝出国籍作假大案，今年高考真让人眼界大开！民族身份造假只能得到20分加分，而按有关规定，外国学生申请中国高校，只要提供高中成绩、有效护照并通过汉语水平考试即可，部分高校虽有自主命题考试但难度都很低，甚至有很多留学生完全是免试。在“国籍造假”面前，“民族造假”只能是“小巫见大巫”。
　　所幸，广州7名“假洋鬼子”终于露出了马脚，炮制“假洋鬼子”的犯罪分子也都受到了应有惩罚。可国内高校中还潜伏着多少这样的“留学生”？
　　早在3个月前，一个题为《北京大学医学部外国留学生录取名单藏猫腻》的帖子就在很多论坛疯传：在该校2007和2008两年录取的共112名留学生中，拥有几内亚比绍国籍的学生多达48名，而且全是三个字的中文名字。一个仅有160万人口且非常贫穷的西非国家，其留学生人数却占了中国顶尖大学医学专业留学生的近一半，这可能吗？北大负责留学生招生的李老师告诉记者，这些学生都是华裔，申请表上填写的籍贯大多为我国港澳台地区，其中并没有大陆籍的学生。至于为什么会有那么多港澳台籍学生以几内亚比绍国籍申请北大医学部，李老师表示他也不清楚。北大医学部2008年的招生简章显示，就读同样的临床医学本科专业，留学生每年的费用是45000元人民币，港澳台学生的费用和大陆学生费用一样，每年仅需6000元。那又是什么因素，吸引这些港澳台籍学生选择费用更加高昂的留学生身份呢？对于这个问题，李老师回答说：“只有问学生本人才知道。”据报道，2006年，北京、上海、广东、江西、浙江等省市都发现，有国内高考落榜生以“外国留学生”的身份，持伪造的护照和相关证件“曲线高考”进入内地数所名牌大学。(《新闻晨报》4月9日)
　　“他也不清楚”，“只有问学生本人才知道”……这样一个明显可能存在猫儿腻的线索，就这样不了了之了吗？
　　“国籍造假”是对我国优质高等教育资源的抢劫，是对教育公平的极大损害。查处“跨国高考移民”应该比查处“民族身份造假”及国内“高考移民”更加坚决、更加严厉！我们呼吁北大就那份留学生名单给出一个令人信服的说法，更希望全国各地的高校都对留学生来一次拉网式普查。盛大林

",6,教育,19,1018
SK电信与贝尔实验室联合开发4G技术,"　　作 者：张?
　　通信世界网(CWW)10月20日消息 据国外媒体报道，近日SK电信与贝尔实验室合作共同开发post-4G无线技术以及智能网络技术。
　　据了解，双方的合作备忘录上周在韩国首都首尔签署，该公司表示将努力确定无线网络外线，未来它将取代4G同时也将有更多的应用程序在上面运行。
　　SK电信将于贝尔实验室合作开发包括干扰控制，自动化和虚拟网络技术以及网络优化传输等方面技术。据了解，双方的合作协议还包括为复合网络开发自动最佳化算法，其中包括云计算应用，其在未来三年时间中将应用在运营商的网络中。

",7,科技,18,257
李肇星斥责个别国家售台武器兄弟拥抱时递匕首,"　　人民网北京3月4日电 (人民网前方报道组) 十一届全国人大三次会议新闻发布会正在人民大会堂三楼金色大厅举行。大会发言人李肇星在谈到台湾问题时表示，台湾问题涉及中国的核心利益，利用台湾问题干涉中国内政，干扰中国的和平统一大业，伤害中国人民的民族感情，是坚决不能接受的。
　　李肇星指出，台湾问题涉及中国的核心利益，涉及包括海峡两岸中国人在内的全体中国人民的民族感情。应该不难理解一个简单的事实，就是大陆和台湾同属一个中国，实际上只有一个中国，台湾是中国的一部分。这么点事，这么简单，对某些西方政客来讲，怎么就这么难记呢？利用台湾问题干涉中国内政，干扰中国的和平统一大业，伤害中国人民的民族感情，是坚决不能接受的。
　　李肇星形象地比喻说，现在我们海峡两岸的中国人，他们情同手足、血浓于水，正在进行友好交流，扩大和加强友好交往的时候，个别国家向台湾出口先进武器，这就像弟兄两个人正在拥抱的时候，有人给其中一方递上一把匕首，用心何在？
　　李肇星还特意指出，在上海世博园还有一个台湾馆。他说，我现在主动当志愿者了，台湾馆的位置是在园区的A片区，它的旁边是世博园艺中心，它的西侧是世博轴，东侧是尼泊尔馆，南侧跨临中国国家馆，省区市馆，香港馆和澳门馆。

",10,时政,21,525
挪威货运列车脱轨撞入建筑物3死3伤,"　　新华网奥斯陆3月24日电（记者李国荣）挪威一列由16节空载平车组成的货运列车24日在没有机车牵引的情况下，从挪威首都奥斯陆一个名叫阿尔纳布鲁的货运站沿轨道一路顺势而下，冲进5公里外的一个奥斯陆集装箱码头后脱轨并撞塌一座港口建筑，造成3人死亡，3人受伤，另有一人失踪。
　　事发后，奥斯陆市政府派出了大批警察、消防队员、潜水员和救护人员到现场施救。记者赶到现场后看到，冲出路轨的平车，有的已翻转朝上，有的则侧靠在路边的大卡车上；一座银灰色屋顶的建筑物已被从中间撞塌。一辆穿过这座建筑的平车紧挨着码头插入峡湾的海水中。警犬在高高堆起的散乱杂物中搜寻失踪人员。
　　据警方说，死伤和失踪人员当时都在这座被撞塌的建筑物里上班。一位死里逃生的码头工人对记者说，平车冲向这座建筑物时从他的汽车旁经过，当时两者之间距离只有三四米。
　　警方已对这起事故进行调查。到目前为止，还不知道这列空载货车在阿尔纳布鲁货运站是怎么失去控制的。

",10,时政,17,412
胜负彩10061期欧洲四大博彩公司最新赔率(2100),"14场精选合买单：[6912元复式合买][单场高手万元合买][17496元分2千万滚存]任九精选合买单：[元宝会员2304元][金砖会员1162元][2916元博德国][1548胆拖]

",2,彩票,27,94
周日足彩场次调整：巴萨出局无缘竞猜 西班牙入替,"　　新浪体育讯　经确认，在足球彩票胜负游戏(14场、任选9场)第09045期竞猜场次中，马洛卡-维拉利尔、拉科鲁尼亚-巴塞罗那、马德里竞技-阿尔梅利亚和瓦伦西亚-毕尔巴鄂竞技的比赛均提前至5月31日凌晨(北京时间)进行，在本期胜负彩票截止销售时间之前。
　　经研究，决定调整足球彩票胜负游戏(14场、任选9场)第09045期竞猜场次，由替补场次皇家贝蒂斯-瓦拉多利德的比赛替代马洛卡-维拉利尔的比赛，由西甲场次西班牙人-马拉加的比赛替代拉科鲁尼亚-巴塞罗那的比赛、桑坦德竞技-赫塔菲的比赛替代马德里竞技-阿尔梅利亚的比赛、希洪竞技-维尔瓦的比赛替代瓦伦西亚-毕尔巴鄂竞技的比赛。
　　国家体育总局体育彩票管理中心
　　二ΟΟ九年五月二十六日
　　新浪体育讯　经确认，在足球彩票胜负游戏(14场、任选9场)第09045期竞猜场次中，马洛卡-维拉利尔、拉科鲁尼亚-巴塞罗那、马德里竞技-阿尔梅利亚和瓦伦西亚-毕尔巴鄂竞技的比赛均提前至5月31日凌晨(北京时间)进行，在本期胜负彩票截止销售时间之前。
　　经研究，决定调整足球彩票胜负游戏(14场、任选9场)第09045期竞猜场次，由替补场次皇家贝蒂斯-瓦拉多利德的比赛替代马洛卡-维拉利尔的比赛，由西甲场次西班牙人-马拉加的比赛替代拉科鲁尼亚-巴塞罗那的比赛、桑坦德竞技-赫塔菲的比赛替代马德里竞技-阿尔梅利亚的比赛、希洪竞技-维尔瓦的比赛替代瓦伦西亚-毕尔巴鄂竞技的比赛。
　　国家体育总局体育彩票管理中心
　　二ΟΟ九年五月二十六日

",2,彩票,23,643
招商地产融资50亿 下半年加大掠地,"　　21世纪经济报道记者 李域 
　　7月25日，作为一线上市房地产企业“招保万金”之一的招商地产(企业专区,旗下楼盘)(35.90,-1.00,-2.71%)(000024.SZ)发布公告称，将向不超过十名特定投资者发行股份，发行价格为28.12元/股，预计融资金额不超过50亿元。招商地产的控股股东蛇口工业区承诺，将以现金形式认购不低于10%的增发股份。 
　　此前，2008年11月26日，招商地产曾以每股13.20元的价格公开增发4.5亿股，募集资金59.4亿元。 
　　不同的是，公司此次的拟增发价格(28.12元/股)比2008 年公开增发价格(13.2元/股)上涨了113%，但大股东(含关联方)的认购比例却由2008年的62.05%下降到(不低于)10%，两次增发大股东分别是低价高比例认购和高价低比例认购的结合，既不会影响其对公司的控股地位，又可以降低大股东的持股成本，对于大股东来说，绝对享受最大利益。 
　　中信证券(36.38,1.68,4.84%)研究员陈聪认为，大股东此次认购比例低于前次公开增发，对于投资者会存在一定的风险因素。 
　　不过，招商地产董秘刘宁解释为，前次公开增发大股东高比例认购与当时市场情况有关，大股东高比例认购之举表明对公司有信心，也是支持上市公司的表现。而本次定向发行，如果大股东再选择高比例认购，那么参与定向增发的机构则认购比例会减少。 
　　按照计划，招商地产此次增发募集的资金，将用于购买大股东蛇口工业区拥有的鲸山九期项目的土地使用权及后续开发投入，其余募集资金将投入北京公园1872 (论坛 相册 户型 样板间 地图搜索)三期、北京立水桥二至四期、深圳西乡项目、苏州小石城二至三期、上海海湾花园B地块一期、C地块等项目。 
　　据招商地产《非公开发行股票预案》显示，鲸山九期项目位于深圳市蛇口工业区蛇口工业大道，距蛇口码头仅五分钟的车程。项目土地面积54391平方米，容积率1.96，计容积率建筑面积106500平方米，其中住宅102400平方米、商业3400平方米、公建700平方米；总地价11.9亿元，折合楼面地价11200元/平方米。 
　　早在2009年4月初的股东大会上，公司董事长孙承铭就表示，大股东将逐期注入优质资产，“如果市场允许，其每年注入的土地规模将达到10万平方米”。 
　　因而对于本次注入的土地面积5.4万平方米，有多家券商研究机构都分析指出，此次增发收购资产规模较小。 
　　7月27日，招商地产收报35.90元，下跌2.71%, 在地产行业跌幅榜上居于第二。上述两个原因不能不说产生了一定的影响。 
　　不过，招商地产认为，此次增发将增强公司流动性和偿债能力，同时将增加公司的净资产规模，降低公司的资产负债率水平。 
　　截至2008年末，招商地产的资产负债率为56.51%，本次发行后，以融资额上限50亿元计算，公司的资产负债率将降至49.86%。 
　　在2006年至2008年，招商地产经营活动现金净流量分别为-15.83亿元、-40.03亿元和-39.20亿元。其中，现金流量压力主要源自购买项目开发用地。 
　　中银国际研究员田世欣分析，在2008年的定向增发完成后，招商地产目前负债率水平较低，2009年一季度末，净负债率仅为29.9%，手持现金72亿元，财务状况宽松。如果增发顺利完成，2009年末招商地产将从净负债转为净现金。 
　　国信证券地产分析师方焱表示，近两年招商地产项目增长比较快，对资金需求大。招商地产董秘刘宁也肯定地对本报记者说：“下半年将会加大拿地力度。” 
我要评论

",3,房产,17,1497
陆慧明火线解盘：阿森纳主场横扫 低迷勒沃可博胆,"　　新浪体育讯　01 莫陆军vs国 米 推荐：30
　　本场比赛最新盘口形势为陆军平手184低水，国米换帅后应该有起色，但是伤病情况非常严重，本场比较危险。
　　02 拜 仁vs曼 城 推荐：03
　　本场比赛最新盘口形势为拜仁让半球186低水，现在拜仁状态非常好，可曼城攻击力强大，两头。
　　03 那不勒vs维拉利 推荐：3
　　本场比赛最新盘口形势为那不勒斯让半一186低水，客队现在的阵容厚度，两线作战其实挺困难的。欧联杯时主队才让平半，现在都让半一了。
　　04 特拉布vs里 尔 推荐：01
　　本场比赛最新盘口形势为里尔平手182低水，土耳其的主场非常厉害，平手盘有点高看客队了，两头。特队能击败国米，不管什么情况，至少说明实力是有的，但是他们连胜可能性也不大。
　　05 曼 联vs巴塞尔 推荐：31
　　本场比赛最新盘口形势为曼联让球半/两球176低水，鲁尼受伤，年轻的球队补平局。
　　06 里 昂vs萨格勒 推荐：30
　　本场比赛最新盘口形势为里昂让一球/球半181低水，最近客队状态不是一般的好，此战防大冷板。
　　07 皇 马vs阿贾克 推荐：3
　　本场比赛最新盘口形势为皇马让两球196中水，客队其实也非弱旅，让这么大实在罕见。
　　08 加拉茨vs本菲卡 推荐：01
　　本场比赛最新盘口形势为本菲卡让一球180低水，通常觉得首战踢平曼联，本菲卡此战会比较顺利。但是一球盘非常不好，防平。
　　09 勒 沃vs亨 克 推荐：3
　　本场比赛最新盘口形势为勒沃库森让球半196中高水，主队似乎在输给切尔西后没有状态，联赛也是连败，本场让得很深倒可以作胆。
　　10 瓦伦西vs切尔西 推荐：30
　　本场比赛最新盘口形势为瓦伦西亚受让平半208高水，主场踢平巴萨，反而还是受让，这盘开得有点奇怪，两头。
　　11 阿森纳vs奥林匹 推荐：3
　　本场比赛最新盘口形势为阿森纳让一球/球半191低水，现在枪手这状况，冠军杯肯定是主攻方向。
　　12 马 赛vs多 特 推荐：30
　　本场比赛最新盘口形势为马赛让平半208高水，考虑到本场和国米的比赛存在交叉，两头。
　　13 AC米兰vs比尔森 推荐：30
　　本场比赛最新盘口形势为米兰让球半196中高水，客队近来踢得其实非常稳健，可以补个冷门。
　　14 巴 特vs巴 萨 推荐：0
　　本场比赛最新盘口形势为巴萨让两球/两球半，单选。(陆慧明)

",2,彩票,23,1018
